event_id,date,time_utc,datetime_utc,lat,lon,depth,moment_tensor_depth,strike1,dip1,rake1,strike2,dip2,rake2,n_fault_planes,ma,md,ml,mw,scalar_moment,mt_exponent,mt_mrr,mt_mtt,mt_mpp,mt_mrt,mt_mrp,mt_mtp,mt_1,mt_2,mt_3,mt_4,mt_5,mt_6,optimum_strike,optimum_dip,optimum_rake,instability,instability_max
21139826,2000-12-20,23:22:54.400000,2000-12-20T23:22:54.400000Z,40.9900,-121.6900,18.2300,5.0000,175.0000,57.0000,-70.0000,322.0000,37.0000,-118.0000,2,4.2100,4.2400,4.2600,4.3000,41501100000000002228224.0000,22,-3.2864,-0.3026,3.5890,0.3322,1.6321,-1.7070,-3.2864,-0.3026,3.5890,0.3322,1.6321,-1.7070,175.0000,57.0000,290.0000,0.9081,0.9081
21139833,2000-12-20,23:39:14.800000,2000-12-20T23:39:14.800000Z,40.9900,-121.6900,17.1100,5.0000,171.0000,55.0000,-63.0000,309.0000,43.0000,-123.0000,2,4.5000,4.3800,4.6200,4.4000,49426600000000003932160.0000,22,-4.0085,0.4844,3.5241,0.8137,1.6490,-2.6093,-4.0085,0.4844,3.5241,0.8137,1.6490,-2.6093,171.0000,55.0000,297.0000,0.9201,0.9201
21140955,2000-12-27,13:15:11.220000,2000-12-27T13:15:11.220000Z,40.4700,-124.4600,28.0300,33.0000,229.0000,87.0000,46.0000,136.0000,44.0000,176.0000,2,3.8700,4.0200,3.9600,4.1000,14744900000000000393216.0000,22,0.1047,-1.0761,0.9714,-0.7374,-0.7529,0.0892,0.1047,-1.0761,0.9714,-0.7374,-0.7529,0.0892,136.0000,44.0000,176.0000,0.8083,0.8196
21143130,2001-01-11,18:10:40.840000,2001-01-11T18:10:40.840000Z,40.6300,-124.1700,22.0000,24.0000,306.0000,87.0000,-155.0000,215.0000,65.0000,-3.0000,2,4.0200,3.8200,3.9500,4.2000,22074100000000000917504.0000,22,-0.5557,-1.6183,2.1740,0.5483,-0.7319,-0.7148,-0.5557,-1.6183,2.1740,0.5483,-0.7319,-0.7148,215.0000,65.0000,-3.0000,0.9534,0.9534
21143281,2001-01-13,13:08:42.100000,2001-01-13T13:08:42.100000Z,40.7600,-125.2400,2.2400,14.0000,216.0000,89.0000,15.0000,126.0000,75.0000,179.0000,2,5.1100,4.7300,5.1900,5.4000,1402189999999999925026816.0000,24,0.1664,-1.3719,1.2055,-0.2417,-0.2635,-0.4227,0.1664,-1.3719,1.2055,-0.2417,-0.2635,-0.4227,216.0000,89.0000,15.0000,0.9612,0.9612
21145960,2001-02-02,23:03:11.620000,2001-02-02T23:03:11.620000Z,39.7300,-122.8300,6.0800,5.0000,10.0000,48.0000,-92.0000,193.0000,42.0000,-88.0000,2,3.8800,4.0300,3.9600,4.2000,24929999999999999475712.0000,22,-2.5310,0.1906,2.3404,0.0282,-0.2303,0.4573,-2.5310,0.1906,2.3404,0.0282,-0.2303,0.4573,193.0000,42.0000,-88.0000,0.8450,0.8450
21148786,2001-02-20,18:51:20.660000,2001-02-20T18:51:20.660000Z,40.3000,-124.9000,8.3900,18.0000,200.0000,68.0000,32.0000,97.0000,60.0000,155.0000,2,3.5500,3.4900,,3.8000,6506350000000000327680.0000,21,3.7919,-4.5151,0.7231,-0.4455,-1.2029,-5.5754,3.7919,-4.5151,0.7231,-0.4455,-1.2029,-5.5754,200.0000,68.0000,32.0000,0.9621,0.9621
21149422,2001-02-25,23:18:22.500000,2001-02-25T23:18:22.500000Z,37.3300,-121.7000,7.0800,8.0000,57.0000,89.0000,16.0000,326.0000,74.0000,179.0000,2,4.1900,4.1000,4.4400,4.4000,42710199999999997116416.0000,22,-0.0133,-3.7684,3.7817,0.9378,0.7221,1.6101,-0.0133,-3.7684,3.7817,0.9378,0.7221,1.6101,326.0000,74.0000,179.0000,0.8997,0.8997
21152690,2001-03-11,10:11:07.440000,2001-03-11T10:11:07.440000Z,39.4900,-122.9500,15.4200,18.0000,248.0000,87.0000,-11.0000,338.0000,79.0000,-177.0000,2,3.6700,3.8900,3.7500,4.1000,18725300000000000917504.0000,22,-0.2321,-1.1653,1.3974,0.3226,0.1089,1.3199,-0.2321,-1.1653,1.3974,0.3226,0.1089,1.3199,338.0000,79.0000,-177.0000,0.9706,0.9706
21159189,2001-04-20,05:19:52.330000,2001-04-20T05:19:52.330000Z,40.6900,-125.3000,7.4900,11.0000,222.0000,87.0000,5.0000,132.0000,85.0000,177.0000,2,4.3400,4.0600,4.2300,4.3000,38270999999999998164992.0000,22,0.1422,-3.8592,3.7170,-0.1058,-0.3616,-0.3864,0.1422,-3.8592,3.7170,-0.1058,-0.3616,-0.3864,222.0000,87.0000,5.0000,0.9095,0.9095
