event_id,date,time_utc,datetime_utc,lat,lon,depth,moment_tensor_depth,strike1,dip1,rake1,strike2,dip2,rake2,n_fault_planes,ma,md,ml,mw,scalar_moment,mt_exponent,mt_mrr,mt_mtt,mt_mpp,mt_mrt,mt_mrp,mt_mtp,mt_1,mt_2,mt_3,mt_4,mt_5,mt_6
21148786,2001-02-20,18:51:20.660000,2001-02-20T18:51:20.660000Z,40.3,-124.9,8.39,18.0,200.0,68.0,32.0,97.0,60.0,155.0,2,3.55,3.49,,3.8,6.50635e+21,21,3.7919,-4.5151,0.7231,-0.4455,-1.2029,-5.5754,3.7919,-4.5151,0.7231,-0.4455,-1.2029,-5.5754
21149422,2001-02-25,23:18:22.500000,2001-02-25T23:18:22.500000Z,37.33,-121.7,7.08,8.0,57.0,89.0,16.0,326.0,74.0,179.0,2,4.19,4.1,4.44,4.4,4.27102e+22,22,-0.01333,-3.7684,3.7817,0.93777,0.72208,1.6101,-0.01333,-3.7684,3.7817,0.93777,0.72208,1.6101
21152690,2001-03-11,10:11:07.440000,2001-03-11T10:11:07.440000Z,39.49,-122.95,15.42,18.0,248.0,87.0,-11.0,338.0,79.0,-177.0,2,3.67,3.89,3.75,4.1,1.87253e+22,22,-0.23209,-1.1653,1.3974,0.32256,0.10893,1.3199,-0.23209,-1.1653,1.3974,0.32256,0.10893,1.3199
21159189,2001-04-20,05:19:52.330000,2001-04-20T05:19:52.330000Z,40.69,-125.3,7.49,11.0,222.0,87.0,5.0,132.0,85.0,177.0,2,4.34,4.06,4.23,4.3,3.8271e+22,22,0.14224,-3.8592,3.717,-0.10581,-0.36163,-0.38644,0.14224,-3.8592,3.717,-0.10581,-0.36163,-0.38644
21164239,2001-05-15,02:39:51.260000,2001-05-15T02:39:51.260000Z,35.76,-121.24,7.84,8.0,313.0,58.0,128.0,77.0,48.0,46.0,2,4.01,3.8,3.9,3.8,6.32551e+21,21,4.5954,-5.3965,0.8011,0.0519,3.5141,1.6688,4.5954,-5.3965,0.8011,0.0519,3.5141,1.6688
21164778,2001-05-17,21:53:45.180000,2001-05-17T21:53:45.180000Z,35.8,-118.04,10.57,8.0,213.0,76.0,-22.0,309.0,69.0,-164.0,2,4.49,4.18,,4.0,1.4152e+22,22,-0.29697,-1.074,1.3709,0.49378,0.21124,-0.39532,-0.29697,-1.074,1.3709,0.49378,0.21124,-0.39532
21164793,2001-05-17,22:56:45.450000,2001-05-17T22:56:45.450000Z,35.79,-118.04,10.58,8.0,201.0,71.0,-58.0,320.0,37.0,-146.0,2,4.63,4.27,,4.2,2.2343e+22,22,-1.1349,-0.86744,2.0024,0.60742,1.2882,-0.31612,-1.1349,-0.86744,2.0024,0.60742,1.2882,-0.31612
21165479,2001-05-22,00:40:39.420000,2001-05-22T00:40:39.420000Z,40.46,-124.85,12.1,18.0,219.0,89.0,-1.0,309.0,89.0,-179.0,2,3.72,3.64,,3.9,9.40618e+21,21,0.1712,-9.271399,9.1003,0.2497,0.1135,-2.0058,0.1712,-9.271399,9.1003,0.2497,0.1135,-2.0058
30223107,2001-07-02,17:33:53.680000,2001-07-02T17:33:53.680000Z,36.7,-121.33,4.3,11.0,134.0,81.0,-162.0,41.0,73.0,-10.0,2,4.19,3.94,4.08,4.1,1.70232e+22,22,-0.07908,-1.551,1.6301,-0.57458,0.13345,-0.15108,-0.07908,-1.551,1.6301,-0.57458,0.13345,-0.15108
21209319,2001-07-03,19:02:50.790000,2001-07-03T19:02:50.790000Z,36.69,-121.33,5.57,11.0,47.0,88.0,-10.0,138.0,80.0,-178.0,2,4.36,4.0,4.03,4.1,2.0334e+22,22,-0.01889,-1.9809,1.9998,-0.31767,-0.19821,0.18082,-0.01889,-1.9809,1.9998,-0.31767,-0.19821,0.18082
30223942,2001-07-03,19:07:16.260000,2001-07-03T19:07:16.260000Z,36.69,-121.32,4.57,11.0,37.0,72.0,-24.0,135.0,67.0,-160.0,2,4.02,3.8,3.88,4.0,1.16624e+22,22,-0.31884,-0.86565,1.1845,-0.45326,-0.10212,-0.14217,-0.31884,-0.86565,1.1845,-0.45326,-0.10212,-0.14217
21177031,2001-07-06,15:07:31.970000,2001-07-06T15:07:31.970000Z,38.35,-122.63,6.62,8.0,308.0,88.0,169.0,38.0,79.0,2.0,2,3.63,3.55,3.7,3.5,2.62294e+21,21,-0.3906,-2.2928,2.6835,-0.2856,0.4697,-0.6479,-0.3906,-2.2928,2.6835,-0.2856,0.4697,-0.6479
21181820,2001-07-17,12:07:25.830000,2001-07-17T12:07:25.830000Z,36.01,-117.87,7.16,8.0,352.0,82.0,171.0,83.0,81.0,8.0,2,5.41,4.73,,5.2,6.91319e+23,23,-0.26502,-1.5594,1.8244,0.86389,1.2514,6.543,-0.26502,-1.5594,1.8244,0.86389,1.2514,6.543
30223141,2001-07-17,12:59:59.160000,2001-07-17T12:59:59.160000Z,36.01,-117.88,5.9,5.0,251.0,80.0,-16.0,344.0,74.0,-170.0,2,4.37,4.46,,4.9,2.66344e+23,23,-0.19978,-1.3591,1.5589,0.80689,-0.20181,2.0604,-0.19978,-1.3591,1.5589,0.80689,-0.20181,2.0604
21188442,2001-08-10,20:19:27.060000,2001-08-10T20:19:27.060000Z,39.81,-120.62,5.01,24.0,236.0,86.0,-11.0,327.0,79.0,-176.0,2,5.54,4.78,5.5,5.2,6.69923e+23,23,0.44674,-6.2627,5.816,1.5269,0.21482,2.4962,0.44674,-6.2627,5.816,1.5269,0.21482,2.4962
21191274,2001-08-26,05:03:02.450000,2001-08-26T05:03:02.450000Z,36.81,-121.53,6.17,5.0,314.0,85.0,169.0,45.0,79.0,6.0,2,3.91,3.96,3.91,4.0,1.15442e+22,22,0.17876,-1.2226,1.0438,-0.0888,0.17927,-0.0305,0.17876,-1.2226,1.0438,-0.0888,0.17927,-0.0305
21205837,2001-12-07,14:29:08.480000,2001-12-07T14:29:08.480000Z,39.04,-123.12,6.25,8.0,57.0,85.0,11.0,326.0,79.0,175.0,2,4.23,3.99,4.07,4.2,2.96057e+22,22,0.14336,-2.7322,2.5889,0.35143,0.47927,1.1491,0.14336,-2.7322,2.5889,0.35143,0.47927,1.1491
21205975,2001-12-14,09:41:05.860000,2001-12-14T09:41:05.860000Z,39.05,-123.12,6.01,11.0,233.0,90.0,-10.0,323.0,80.0,-180.0,2,4.22,4.05,4.02,4.3,3.86494e+22,22,-0.42331,-3.438,3.8613,0.49958,0.48877,1.0663,-0.42331,-3.438,3.8613,0.49958,0.48877,1.0663
21207275,2001-12-28,21:14:01.950000,2001-12-28T21:14:01.950000Z,36.64,-121.25,6.57,5.0,230.0,85.0,-6.0,321.0,84.0,-175.0,2,4.73,4.55,4.67,4.6,9.97617e+22,22,1.0481,-10.204,9.1562,1.5732,-0.05642,1.9244,1.0481,-10.204,9.1562,1.5732,-0.05642,1.9244
21221952,2002-04-18,11:35:40.700000,2002-04-18T11:35:40.700000Z,38.79,-122.77,2.26,3.5,344.0,84.0,-149.0,250.0,59.0,-8.0,2,3.59,3.52,3.54,3.98,1.171e+22,22,-0.12753,-0.51011,0.63764,0.27879,-0.53788,0.8144,-0.12753,-0.51011,0.63764,0.27879,-0.53788,0.8144
21222598,2002-04-23,11:59:20.720000,2002-04-23T11:59:20.720000Z,36.87,-121.61,8.55,8.0,325.0,85.0,168.0,56.0,78.0,5.0,2,3.67,3.58,3.63,3.6,3.53228e+21,21,0.2689,-3.3325,3.0636,-0.1923,0.7315,1.2807,0.2689,-3.3325,3.0636,-0.1923,0.7315,1.2807
